transaction_id,transaction_date_time,account_number,card_number,transaction_amount,transaction_type_code,transaction_type_desc,pos_entry_code,pos_entry_desc,authorisation_posting_code,authorisation_posting_desc,decision_code,decision_code_desc,avs_response_code_external,secure_indicator,fraud_monitor_flag,score,merchant_id,merchant_name,merchant_category_code,merchant_category_desc,merchant_city_name,merchant_country_code,merchant_postal_code,acquirer_id,terminal_id,ip_address,device_id,prior_credit_limit,account_open_date,most_recent_email_change,most_recent_phone_change,most_recent_add_change,fraud,fraud_type
6706MXHU6366RSRV,2025-06-30 23:50:54,060703193,453900******4278,71.12,91,Contactless Mag Stripe,90,Mag Stripe,PS,Settlement / Posting,R,Reversal / Refund,Z,,N,518,J3R30ME8F840982,Coinbase,5411,Grocery Stores,PARIS,NG,AN4 6RP,442211,WNYQW7LV,10.32.93.251,WQZXEBB9EITNN8ZT,3000,2024-02-29,2024-11-01,2023-04-12,2025-05-03,1,Application Fraud
2423ZJXQ0299VCFQ,2025-03-05 03:31:58,039728558,453900******2775,22.81,01,Manual Entry,07,Contactless,PS,Settlement / Posting,A,Approved,NA,,N,827,GXAA2ILGB0S0R2S,Carrefour,5541,Service Stations,TORONTO,TR,FP7 9RH,776655,8CROYR6C,10.41.93.94,LFEWVZNVKSP2EX5T,5000,2024-03-16,2024-04-07,2023-08-22,2024-02-28,0,
7332YRMC0473DBYO,2025-03-24 17:38:20,489490231,453900******5148,40.19,OT,Other,91,Contactless Mag Stripe,PS,Settlement / Posting,R,Reversal / Refund,N,,N,597,IPU1WYUVXYBJ17M,BP Petrol,4511,Airlines,BERLIN,CO,RB7 9CN,601912,PMNZ1UDB,10.80.152.7,1BCPPVOHSMDYVSLH,1000,2023-01-08,2023-07-29,2023-11-05,2023-08-05,0,
1441NFOR3374LCIL,2025-05-18 12:44:50,741038689,453900******0825,7.17,01,Manual Entry,90,Mag Stripe,AU,Authorisation Request,D,Declined,NA,,N,236,LGSES6M033IFHV1,HSBC FX,5541,Service Stations,PARIS,IN,YQ4 5PR,881122,X9L8LPQW,10.140.162.6,VMCQBNKX9DVNU80B,5000,2023-11-26,2024-09-11,2024-05-02,2024-05-28,0,
9060SZNP3937RBQI,2025-05-04 00:28:13,062769835,453900******1396,8.33,81,Electronic Commerce,91,Contactless Mag Stripe,PS,Settlement / Posting,A,Approved,NA,Unsecure,Y,327,UXLEZ896DYSAL8M,Shopee,7995,Betting & Gambling,TORONTO,CN,FD0 8CU,442211,0SX5WVFG,10.84.193.140,ZBNZ8V12II826GYU,20000,2024-04-17,2025-02-26,2023-10-16,2025-03-07,0,
8126WOCV8272XDLY,2025-04-13 02:46:19,889433302,453900******3073,21.12,91,Contactless Mag Stripe,05,Chip & PIN,AU,Authorisation Request,A,Approved,Y,,N,722,31QW6AHF7VP1IEI,NatWest Fees,4829,Money Transfer,DUBAI,UA,BV4 5QO,776655,FPWIOXD9,10.34.166.221,8T2SA5BNN0MCIXDU,10000,2023-05-17,2023-02-15,2023-12-27,2024-07-13,0,
6807LHBF0959OGTE,2025-05-09 07:37:12,806274449,453900******3163,14.73,05,Chip & PIN,91,Contactless Mag Stripe,PS,Settlement / Posting,A,Approved,NA,,Y,450,V3TLCXLVPYMB5M9,Microsoft Store,6011,ATM Cash Disbursements,LONDON,DE,RK5 7EA,442211,V2BC2NNU,10.78.143.114,Y8N1UTOXIE0RNUJJ,20000,2023-08-08,2024-09-18,2023-10-20,2024-12-11,0,
1017ZVZZ6752HESS,2025-04-03 19:19:22,751217053,453900******8560,42.58,OT,Other,05,Chip & PIN,PS,Settlement / Posting,D,Declined,NA,,N,548,OOUELCQSE3TV1ES,Safaricom M-Pesa,7995,Betting & Gambling,LONDON,ES,NH1 9FY,881122,64JWTEKT,10.86.87.113,VUGW6M7B5C81JHUW,1000,2024-05-24,2024-10-04,2024-07-12,2023-10-24,0,
8620BLMF6377WZDJ,2025-06-18 01:29:03,121410984,453900******9989,16.02,01,Manual Entry,91,Contactless Mag Stripe,PS,Settlement / Posting,A,Approved,NA,,N,537,Q5RDOQIVBKV4YKA,Carrefour,4829,Money Transfer,SYDNEY,IT,WS7 3KO,954201,NKNQT3WV,10.65.224.42,9O2M71HSSBELRQVS,10000,2024-09-19,2023-11-23,2023-06-16,2024-02-07,0,
5545MAIC4388QPGR,2025-06-21 07:53:08,575166816,453900******0910,10.7,01,Manual Entry,81,eCommerce,PS,Settlement / Posting,D,Declined,Y,,Y,430,SWQ40ZSU9RN8QTT,Square US,5541,Service Stations,SINGAPORE,ID,MY2 2YZ,442211,KHZLM72J,10.62.102.72,UT6OM1FB8C7X0H3J,7500,2023-05-21,2023-04-22,2024-09-22,2025-01-28,0,
2213MRDZ9168MQTH,2025-04-25 10:07:54,690557991,453900******8199,106.97,07,Contactless,07,Contactless,PS,Settlement / Posting,D,Declined,Y,,N,907,BKV7MQXS6ESJ3L0,Barclays Fees,5691,Clothing Stores,SINGAPORE,IN,AI2 6FP,776655,63SDYGFL,10.127.0.7,ANQJLUUJMIYQFY75,7500,2024-12-07,2023-05-01,2024-10-16,2023-10-30,0,
4493SXTU8765UNNJ,2025-06-18 13:13:00,189251846,453900******7484,27.64,07,Contactless,05,Chip & PIN,AU,Authorisation Request,D,Declined,Y,,N,477,UUYLAJAHCPZTC69,Malaysia Airlines,5732,Electronics Stores,LONDON,TH,KT7 9QK,601912,Q7NC85E4,10.60.189.124,GTT0IAAKYTT3IMJ7,2000,2023-02-02,2025-04-08,2024-11-07,2024-03-05,0,
1057BTKG2805HVTI,2025-06-25 02:29:53,782895425,453900******5716,34.95,81,Electronic Commerce,05,Chip & PIN,PS,Settlement / Posting,A,Approved,NA,Secure,N,814,SZOKGTII4FQCOOT,Etihad Airways,4829,Money Transfer,NEW YORK,KR,FQ9 8CS,954201,BNVBC2VY,10.111.28.202,R5L8A78E9RIVH6T1,15000,2024-04-22,2024-06-30,2024-10-26,2024-01-03,0,
4877IFIB8705PSHF,2025-04-14 15:57:52,384662896,453900******4171,10.59,90,Mag Stripe,81,eCommerce,PS,Settlement / Posting,A,Approved,NA,,Y,546,B48Y1O4IZASNWYW,Garuda Indonesia,6011,ATM Cash Disbursements,TORONTO,US,AO0 5HZ,824500,SZP7G7SI,10.129.60.245,3JONOU9IY4X41DNT,1000,2024-10-14,2023-01-10,2024-12-20,2023-06-25,0,
9892XROH9625REWA,2025-04-10 05:25:36,577301283,453900******8371,94.84,91,Contactless Mag Stripe,90,Mag Stripe,AU,Authorisation Request,R,Reversal / Refund,NA,,N,404,DICVWV8LW2QITNG,JD Sports,1520,Contractors & Construction,SYDNEY,NL,UH2 0GJ,442211,W0LDALMJ,10.67.215.245,DPUSDDTV25AO20U9,5000,2024-08-08,2024-06-17,2023-06-23,2024-12-02,1,Lost & Stolen
4044MBGG6511HYIQ,2025-05-03 23:46:32,448653664,453900******1337,36.19,01,Manual Entry,90,Mag Stripe,PS,Settlement / Posting,R,Reversal / Refund,NA,,N,395,K2N7H9G1A07H23C,Tinkoff RU,5812,Restaurants,SYDNEY,PK,DH2 1LJ,601912,9ROS7YT2,10.184.20.63,Z3V6DIXFWUXX8L2D,2000,2023-09-22,2023-08-16,2024-06-06,2025-02-03,0,
3755IACK9191ILFM,2025-06-01 11:04:41,074007031,453900******8975,13.19,07,Contactless,91,Contactless Mag Stripe,AU,Authorisation Request,D,Declined,NA,,N,247,2WGXO05QPAHKZ2U,MercadoLibre,5541,Service Stations,TOKYO,IN,JF1 6MZ,737205,VWVM4W3Z,10.152.74.176,7VYLIENFNVUPRT77,3000,2024-07-22,2023-06-20,2024-05-16,2023-10-23,0,
0301VZNM6484CATH,2025-04-23 08:54:26,227574552,453900******5957,44.73,90,Mag Stripe,91,Contactless Mag Stripe,PS,Settlement / Posting,R,Reversal / Refund,N,,N,114,0XI5BJ5D5E3H0Y4,John Lewis,1520,Contractors & Construction,SYDNEY,NZ,QU8 8ON,881122,TLZKJ49Y,10.48.193.90,E1OCJXZEFLI4OFWW,15000,2024-04-07,2023-03-19,2024-10-10,2025-03-24,0,
6844PWWC9668UKZV,2025-06-05 01:32:19,283554360,453900******0741,20.48,10,Card On File,91,Contactless Mag Stripe,AU,Authorisation Request,D,Declined,A,Unsecure,N,217,965K55DMCXXBW01,Air France,5691,Clothing Stores,PARIS,IE,AM1 2RA,776655,ME4YRID3,10.52.214.212,L5E11E9FTAXP0WFO,20000,2025-05-30,2023-08-11,2023-03-30,2023-04-13,0,
9312COPP7686HNNT,2025-04-27 09:19:32,677232608,453900******0333,26.22,10,Card On File,81,eCommerce,PS,Settlement / Posting,D,Declined,Z,Unsecure,Y,791,Q9CVAH78OKZ1POX,Travis Perkins,4511,Airlines,DUBAI,AU,HI5 2VN,601912,V1XXLP8I,10.125.44.115,DPQVL00EZZF8S2ZG,3000,2025-02-06,2025-03-10,2025-06-13,2023-10-03,0,
2075CLJM5321OSFN,2025-03-09 13:13:53,800391908,453900******7622,20.46,10,Card On File,07,Contactless,PS,Settlement / Posting,D,Declined,NA,Unsecure,N,132,S6G298CQK4LTAHU,Revolut,5541,Service Stations,DUBAI,SG,MP4 7FX,442211,2F7ATWYA,10.171.135.101,AX40DTIRC9ZD76SZ,10000,2024-04-14,2025-02-04,2023-03-28,2024-08-17,0,
0612WYKV3429DUCC,2025-05-27 07:07:58,445923211,453900******6860,465.5,05,Chip & PIN,91,Contactless Mag Stripe,PS,Settlement / Posting,A,Approved,Y,,Y,714,OBK3G84UTDD2EC2,Sky Bet,7995,Betting & Gambling,BERLIN,CN,VJ6 6PG,442211,C9HX3D43,10.62.187.242,BQGU3OBYGHGK5BWI,7500,2024-05-25,2024-02-26,2024-07-17,2024-05-05,1,CNP
8568UZUJ5495KEIF,2025-04-24 13:14:28,095799162,453900******8909,63.5,91,Contactless Mag Stripe,05,Chip & PIN,AU,Authorisation Request,R,Reversal / Refund,NA,,N,713,79GIL0MVZMUF843,EasyMoney Transfer,4511,Airlines,TOKYO,PH,EA0 6AM,737205,7HEZ74LA,10.72.134.178,1448N7ODKEF828XG,10000,2023-08-17,2024-11-12,2024-08-26,2025-04-14,1,SCAM
7993ZZAP9925YDTG,2025-05-02 01:03:53,180768422,453900******0210,14.21,01,Manual Entry,05,Chip & PIN,PS,Settlement / Posting,D,Declined,NA,,Y,915,O5MN32U1IQ2BAJD,Venmo,5732,Electronics Stores,BERLIN,KE,EB9 9IZ,601912,ZPXVPBL9,10.209.141.33,ZZ0JKIBU4FMPKXVH,1000,2023-07-31,2023-06-24,2024-10-15,2023-10-26,0,
7482QKJJ1042VODS,2025-03-19 18:40:00,035955884,453900******5848,63.95,OT,Other,07,Contactless,PS,Settlement / Posting,D,Declined,Y,,Y,524,USU9F8Q8GHGBCYH,Glovo,5812,Restaurants,BERLIN,PE,GX9 0KK,737205,4S7AZV2E,10.76.157.235,FV177UDKTMONRVBJ,3000,2024-09-25,2024-09-15,2024-11-28,2024-12-11,0,
0423IUIV8692HTUI,2025-05-20 22:18:06,604944530,453900******7074,12.47,91,Contactless Mag Stripe,90,Mag Stripe,AU,Authorisation Request,A,Approved,Y,,Y,867,CBBMHNQO7YIRQ8R,HomeBase,4829,Money Transfer,DUBLIN,AR,EX7 6HK,954201,42HHIHXS,10.4.142.70,REG2IV7ZZJ64QHKS,15000,2024-08-21,2023-04-15,2023-01-08,2024-06-07,0,
6210ZQWG7821TXUU,2025-06-25 12:21:28,431042947,453900******5983,39.14,90,Mag Stripe,81,eCommerce,AU,Authorisation Request,R,Reversal / Refund,Z,,N,938,7MKGXUKQ00U686X,Sky Bet,1520,Contractors & Construction,DUBLIN,HK,TH7 3GH,442211,EBWUWQHE,10.195.106.37,TO5F9M969F5GCL9L,1000,2023-01-05,2024-04-07,2023-10-08,2023-08-03,0,
4706QKZJ0130IVER,2025-06-30 16:34:21,728315300,453900******9455,6.91,05,Chip & PIN,81,eCommerce,PS,Settlement / Posting,R,Reversal / Refund,NA,,N,933,R1F63AI9HASEZ2N,NatWest Fees,5732,Electronics Stores,SINGAPORE,SA,QP0 1VB,824500,PNTRFZWK,10.51.179.161,XJVE3DZEEDHHJSHZ,7500,2023-06-14,2023-02-10,2024-07-15,2024-05-23,0,
0698RDCN7122ZHMC,2025-04-03 22:10:09,883641880,453900******1638,11.44,OT,Other,90,Mag Stripe,PS,Settlement / Posting,R,Reversal / Refund,Y,,N,197,EOQ4YRP5GE094D6,Garuda Indonesia,4829,Money Transfer,DUBAI,RU,EJ3 0RV,954201,RR5PCXA5,10.114.174.38,9YMSZDXIMYN4U9BX,3000,2024-06-01,2025-05-19,2024-04-25,2025-05-22,0,
3325OJVC4504IZTA,2025-05-18 08:09:54,450066352,453900******6930,38.76,05,Chip & PIN,07,Contactless,AU,Authorisation Request,D,Declined,N,,N,743,XZE1HM38KSZBFFZ,Origin EA,6011,ATM Cash Disbursements,SYDNEY,IE,GF1 8FV,954201,ZDO74V1Q,10.68.239.2,8A0TPV726YG3DXVL,15000,2024-03-04,2024-09-15,2024-12-10,2025-02-19,0,
4147THSW7962QHIR,2025-04-04 12:40:02,563134564,453900******7828,59.79,91,Contactless Mag Stripe,90,Mag Stripe,AU,Authorisation Request,R,Reversal / Refund,Y,,N,158,BCJ29YFC2HTMQWY,Screwfix,5812,Restaurants,NEW YORK,QA,KN7 6SB,601912,N89LTAJW,10.226.217.67,36ZX1TV18KGYGGSN,15000,2023-10-13,2024-07-23,2023-09-28,2023-05-14,0,
4909PUQV3750SNYN,2025-06-07 02:07:28,154386329,453900******6457,37.98,01,Manual Entry,07,Contactless,AU,Authorisation Request,A,Approved,NA,,N,256,6WW8YL68NTK63N2,Royal Jordanian,5541,Service Stations,TORONTO,CA,HQ3 0CZ,442211,TACY15PD,10.222.215.123,X70FQLDB2UUIJNWP,1000,2024-02-03,2024-11-20,2023-05-02,2024-07-01,0,
3526PHYJ8012TUWH,2025-03-28 23:26:26,289869081,453900******0535,106.96,10,Card On File,81,eCommerce,AU,Authorisation Request,D,Declined,N,Secure,N,566,OXSFH4GG24479QT,TikTok Ads,5411,Grocery Stores,PARIS,KR,CS4 3DR,824500,KCGRLXYF,10.186.158.226,38GL2ZXJMYLRQ1RD,2000,2025-05-11,2023-10-15,2025-05-29,2025-04-26,1,SCAM
7886VPTF0285RDKX,2025-06-23 11:44:19,724535688,453900******6154,26.03,07,Contactless,90,Mag Stripe,AU,Authorisation Request,R,Reversal / Refund,NA,,Y,763,07B1IJIYS2N75BX,Carrefour,7995,Betting & Gambling,TOKYO,MY,VG5 1QJ,776655,6CJ9IO3M,10.246.215.34,5A5PISKFFV3XOLEY,20000,2023-08-04,2024-08-27,2023-06-15,2024-10-24,0,
5160OBGE9550SRHC,2025-05-27 05:26:21,644241576,453900******5169,10.15,81,Electronic Commerce,05,Chip & PIN,AU,Authorisation Request,A,Approved,N,Secure,Y,121,AS6Y3VG6V5T1DX6,B&Q,5411,Grocery Stores,LONDON,EG,NJ0 5FU,442211,1M264UPJ,10.119.11.237,6DVTJA0ASSNH2ODP,7500,2023-09-25,2025-05-25,2024-07-02,2024-03-09,0,
4743OGHI7786TLSE,2025-04-11 15:26:50,578660368,453900******8460,18.62,01,Manual Entry,91,Contactless Mag Stripe,PS,Settlement / Posting,A,Approved,N,,Y,751,N9WSZV83XPHX2KB,Superdrug,4829,Money Transfer,TOKYO,AE,SP6 3RZ,824500,92MOVS0C,10.46.42.56,T0UUM3I8QOAGSUSM,2000,2025-04-02,2024-06-09,2023-09-21,2025-06-16,0,
5779LLPA1069RFIY,2025-06-09 07:05:02,572237351,453900******3251,22.91,01,Manual Entry,91,Contactless Mag Stripe,AU,Authorisation Request,D,Declined,NA,,Y,763,IJI44M2EC8RA484,Betway,4511,Airlines,DUBAI,BR,MZ8 8MZ,881122,KHUB2RTS,10.201.149.67,41QESLAYNDN5GJJ8,10000,2024-01-10,2023-07-08,2024-05-25,2024-03-10,0,
2115FCHG4319DUEM,2025-06-09 09:25:37,534280012,453900******2807,77.15,90,Mag Stripe,90,Mag Stripe,PS,Settlement / Posting,D,Declined,N,,N,362,AE58HUXG2MYR06N,Facebook Ads,4511,Airlines,TORONTO,AU,WQ9 4PK,824500,CMLXZVO5,10.185.240.189,0SQG4EIJ00HOD7RB,15000,2024-06-20,2025-02-22,2023-03-27,2023-04-17,0,
3226DVAR8349OHLZ,2025-06-13 17:15:44,156655633,453900******5843,43.59,05,Chip & PIN,07,Contactless,PS,Settlement / Posting,A,Approved,N,,Y,545,34MQA78RAPKIANO,Screwfix,4511,Airlines,SYDNEY,NG,GS6 8FC,776655,I163YK03,10.211.104.35,GCEDQQZRLF8A9KEP,1000,2023-08-27,2023-04-03,2023-06-04,2023-01-16,0,
7436ACTD2351XGJA,2025-04-18 08:14:55,392917062,453900******3991,8.08,90,Mag Stripe,91,Contactless Mag Stripe,AU,Authorisation Request,R,Reversal / Refund,NA,,Y,269,RKMBY9IPA2VOI8U,Worldpay,5812,Restaurants,TORONTO,PE,EU2 4RI,442211,WCXZ2EI9,10.177.211.161,2PGYME6RPKZGGM0J,3000,2023-03-12,2024-06-27,2023-06-08,2024-04-05,0,
4757WQJQ3098ERTE,2025-04-24 23:28:37,361508182,453900******4058,42.92,01,Manual Entry,81,eCommerce,PS,Settlement / Posting,R,Reversal / Refund,NA,,N,60,NVC7HR6C2CU7ONZ,Glovo,5541,Service Stations,DUBAI,MY,NT8 0FN,824500,0TGSIWG0,10.212.147.19,01UYZPD2TSXTV76T,10000,2025-05-15,2024-01-16,2024-02-27,2025-02-21,0,
5279GZLK7955ZHHF,2025-05-01 03:33:43,086255910,453900******3135,24.34,90,Mag Stripe,81,eCommerce,AU,Authorisation Request,D,Declined,NA,,Y,594,O7002G3YU6VK0UC,Ryanair,4829,Money Transfer,DUBLIN,AR,WL9 1UT,442211,VA1NKBTF,10.113.12.83,FY981UDP2FMR0TJO,15000,2025-03-03,2024-12-15,2023-05-14,2025-02-19,0,
6167GBUI9064JIPA,2025-04-29 04:33:31,138864926,453900******1707,19.27,07,Contactless,91,Contactless Mag Stripe,AU,Authorisation Request,R,Reversal / Refund,NA,,N,24,M2KQL0HT1TW9ZYN,KakaoPay,4511,Airlines,TOKYO,CA,GB2 6HM,824500,CXX6MDK5,10.197.230.95,IN9DL5TGSQ7AITMO,3000,2023-01-19,2023-12-22,2024-12-01,2023-12-27,0,
2023ZZYY2331SNRW,2025-04-14 03:53:28,454364165,453900******6216,54.02,01,Manual Entry,05,Chip & PIN,AU,Authorisation Request,D,Declined,NA,,Y,681,77LU8EL5015OOP7,LINE Pay,5691,Clothing Stores,SINGAPORE,AU,UC1 7PG,881122,WVIAC2E4,10.240.1.196,ZN4REGB1AJO091C7,20000,2025-06-06,2024-09-23,2024-05-16,2024-12-05,0,
4073IPTP5875LVBZ,2025-06-09 17:19:46,590379148,453900******7212,75.55,OT,Other,05,Chip & PIN,AU,Authorisation Request,R,Reversal / Refund,Z,,Y,484,3Q0E27ZEOQGVZHQ,Netflix,4511,Airlines,DUBLIN,NZ,SD1 4JN,601912,09WFTBGM,10.76.216.143,FF1BL08KG68A1ARR,1000,2024-09-14,2024-05-20,2023-09-01,2023-08-11,0,
4608HQVF1031APPI,2025-03-18 00:43:26,041666571,453900******4590,69.76,OT,Other,91,Contactless Mag Stripe,PS,Settlement / Posting,D,Declined,N,,N,849,CPTKEZJSSZWD0W9,Garuda Indonesia,4511,Airlines,DUBAI,TH,LW2 5QY,881122,USWRGVZ9,10.0.207.54,EQ20HWOBM3HXYJCK,10000,2025-02-24,2023-01-07,2023-04-27,2024-12-03,0,
9818XMMA1148XMVY,2025-03-11 21:04:57,827352678,453900******3920,16.92,91,Contactless Mag Stripe,81,eCommerce,PS,Settlement / Posting,R,Reversal / Refund,Z,,Y,594,VGE2L4ZJD5N3KSG,Betway,1520,Contractors & Construction,LONDON,CN,XL0 4NE,601912,0S1F537Y,10.67.243.128,HBN5ELB45L6D10A1,5000,2023-11-25,2023-07-25,2023-07-17,2023-10-21,0,
2119OCOO2985EIXO,2025-03-10 20:24:04,146104155,453900******8663,25.86,90,Mag Stripe,91,Contactless Mag Stripe,AU,Authorisation Request,R,Reversal / Refund,NA,,Y,954,1QE37QQYZQII4W6,Qatar Airways,7995,Betting & Gambling,BERLIN,MX,UW4 0MJ,601912,4KMUSOZD,10.36.80.38,2TOOWT9NM3V2P2TI,2000,2025-01-27,2024-12-29,2024-08-10,2025-05-06,0,
0434PRPV3602DPTV,2025-03-29 11:47:22,642642827,453900******6997,43.16,OT,Other,90,Mag Stripe,PS,Settlement / Posting,A,Approved,NA,,N,877,EKNTBZ3M55IZOLN,Betfred,5691,Clothing Stores,SYDNEY,SA,FE1 5VJ,601912,F9YECAZR,10.223.155.190,9EE346Z7WQP3NIPA,20000,2025-05-17,2025-01-18,2023-08-31,2024-12-30,0,
3957CMRD7997MCXC,2025-05-31 17:47:02,666655695,453900******0495,72.27,91,Contactless Mag Stripe,81,eCommerce,PS,Settlement / Posting,D,Declined,N,,N,306,GZVK2JWUUXK0ARE,Delta Airlines,1520,Contractors & Construction,SINGAPORE,KR,DH8 0CE,881122,0XNG2IGS,10.16.241.61,MDF7FR91IPWH0MX1,2000,2023-02-23,2023-06-21,2024-04-20,2024-02-13,0,
3741WAYL6960XQYL,2025-04-22 22:21:51,320637775,453900******1361,22.57,OT,Other,81,eCommerce,AU,Authorisation Request,R,Reversal / Refund,Y,,Y,22,OSYM0JBWCV6HVE8,AliExpress,4829,Money Transfer,DUBAI,IT,JT6 8EC,954201,JQ7W7JP6,10.165.149.57,J2JCN9J3GC9HOXDT,15000,2023-08-12,2024-09-20,2024-10-20,2023-04-19,0,
0524XDQY6279ONYM,2025-05-24 16:10:33,478023671,453900******5933,28.54,01,Manual Entry,07,Contactless,AU,Authorisation Request,R,Reversal / Refund,NA,,Y,384,T8CQ1XGBNGZ6WMD,Halifax Bank,5411,Grocery Stores,TORONTO,CN,DF7 5MB,881122,XR838AMM,10.21.235.201,OHXS75T0IC0RA6WI,3000,2023-01-15,2023-06-26,2024-10-09,2023-02-21,0,
8081PQBF3874DROI,2025-04-11 09:43:56,753114654,453900******9008,13.67,10,Card On File,91,Contactless Mag Stripe,PS,Settlement / Posting,A,Approved,Y,Secure,N,92,AGDX5O31YHXSO7V,PayPal,1520,Contractors & Construction,DUBAI,IN,SP0 8HK,881122,IETDN1TH,10.106.141.57,JG2Y8RGYBXKPM21B,1000,2024-07-04,2023-06-30,2023-06-11,2025-03-15,0,
4782CFGK1805BLFP,2025-04-04 13:49:23,317692160,453900******1841,45.9,10,Card On File,07,Contactless,PS,Settlement / Posting,A,Approved,NA,Unsecure,Y,976,6UTIOS5HRQAP5IP,Sky Bet,4829,Money Transfer,DUBAI,AU,XX4 0ZT,881122,BTR23QIU,10.6.92.78,YOHMI9AYFQUV9QEZ,3000,2025-03-19,2025-06-11,2024-01-15,2024-10-03,1,Application Fraud
